name,company,role,twitter,linkedIn
"Julien Deneux","Tracr","Technical Integration support Director","","https://www.linkedin.com/in/juliendeneux/?originalSubdomain=uk"
"Bernard Gaughan","VeChain","Head of Architecture","",""
"Amy Waliszewska","Concordium","Developer Relations Engineer","",""
"Denis Dounaev","Digital Token Identifier Foundation (DTIF)","Product Owner","","https://www.linkedin.com/in/denis-dounaev/"
"Mrinal Manohar","Casper Labs","Co-Founder and  CEO","",""
"Babacar N. Seck","Petale Group","CEO","","https://www.linkedin.com/in/babacarseck/?originalSubdomain=fr"
"Romain Carrere","Aura Blockchain Consortium","CEO","","https://www.linkedin.com/in/romaincarrere/?originalSubdomain=ch"
"Kim Bingham","Mostrodarte","Founder & CEO","","https://www.linkedin.com/in/kim-bingham-8971268/?locale=fr_FR"
"Daniela Barbosa","The Linux Foundation","General Manager Blockchain and Identity at the Linux Foundation and Executive Director of Hyperledger Foundation","","https://www.linkedin.com/in/danielabarbosa/"
"Alex Atashkar","Seed.Photo","Co-Founder","","https://www.linkedin.com/in/alex-atashkar/"
"Danilo S. Carlucci","Morningstar Ventures","Founder & CEO","","https://www.linkedin.com/in/daniloscarlucci/"
"Dr. Ulli Spankowski","Börse Stuttgart Digital","Chief Digital & Product Officer","","https://www.linkedin.com/in/dr-ulli-spankowski-08652916/?originalSubdomain=de"
"David Cunningham","Citi","Global Head of Strategy and Partnerships for Digital Assets in Citi’s Treasury and Trade Solutions","","https://www.linkedin.com/in/davidcunninghamireland/?originalSubdomain=ie"
"Igor Teslya","ConsenSys","NA / EU Sales Director for MetaMask Institutional","",""
"Brittany Kaiser","Chateaushi","CEO","","https://www.linkedin.com/in/ownyourdata/"
"Oscar Wendel","The Counsel Services","Advisor to Valhalla Network and Partner","","https://www.linkedin.com/in/oscarwendel/"
"Bibin Babu","Paycio","Co-Founder","","https://www.linkedin.com/in/iambibinbabu"
"Juan Jose Mendez","Ripio","Chief Brand Officer","","https://www.linkedin.com/in/juanjo-mendez/?originalSubdomain=ar"
"Hazel Zhang","aelf","Head of Investments","","https://www.linkedin.com/in/hazelzzhz/"
